,Song Name,Artist,Weekly Streams,Week of
334,Friends ,"Justin Bieber, BloodPop",1611363,11/9/2017
335,X ,21 Savage,1605483,11/9/2017
336,No Role Modelz,J. Cole,1601897,11/9/2017
337,Curve ,Gucci Mane,1601334,11/9/2017
338,Palace,Sam Smith,1595272,11/9/2017
339,A Different Way ,"DJ Snake, Lauv, Lauv",1591351,11/9/2017
340,The Thrill Of It All,Sam Smith,1562349,11/9/2017
341,Swang,Rae Sremmurd,1557653,11/9/2017
342,Scars,Sam Smith,1556721,11/9/2017
343,Now Or Never,Halsey,1535394,11/9/2017
344,Run Up the Racks,21 Savage,1531667,11/9/2017
345,PRBLMS,6LACK,1531035,11/9/2017
346,When It Rains It Pours,Luke Combs,1525668,11/9/2017
347,No Option,Post Malone,1522037,11/9/2017
348,First Day Out,Tee Grizzley,1516044,11/9/2017
349,4:00 AM,2 Chainz,1510706,11/9/2017
350,Starboy,The Weeknd,1494957,11/9/2017
351,Undefeated,A Boogie Wit da Hoodie,1491630,11/9/2017
352,Money Longer,Lil Uzi Vert,1486040,11/9/2017
353,Something Just Like This,"The Chainsmokers, Coldplay",1482877,11/9/2017
354,Heartache On The Dance Floor,Jon Pardi,1480049,11/9/2017
355,Closer,The Chainsmokers,1479309,11/9/2017
356,Still Serving,21 Savage,1476892,11/9/2017
357,I Don't Wanna Live Forever,"Zayn, Taylor Swift",1464756,11/9/2017
358,Myself,NAV,1463228,11/9/2017
359,Kids in Love ,Kygo,1461880,11/9/2017
360,Caroline,Amine,1453895,11/9/2017
361,Portland,Drake,1447986,11/9/2017
362,Reggaetón Lento (Remix),CNCO,1441309,11/9/2017
363,Broccoli ,DRAM,1436436,11/9/2017
364,Ex Calling,6LACK,1433302,11/9/2017
365,What They Want,Russ,1432291,11/9/2017
366,Say A',A Boogie Wit da Hoodie,1429460,11/9/2017
367,From The D To The A ,Tee Grizzley,1416363,11/9/2017
368,D Rose,Lil Pump,1416131,11/9/2017
369,Feed Me Dope,Future,1415494,11/9/2017
370,Feels,Calvin Harris,1410106,11/9/2017
371,Darth Vader,21 Savage,1408583,11/9/2017
372,No Complaints,Metro Boomin,1402845,11/9/2017
373,Fake Love,Drake,1397687,11/9/2017
374,One Day At A Time,Sam Smith,1393947,11/9/2017
375,Don't,Bryson Tiller,1391117,11/9/2017
376,In Case You Didn't Know,Brett Young,1386926,11/9/2017
377,Stay ,"Zedd, Alessia Cara",1386064,11/9/2017
378,Both ,Gucci Mane,1385775,11/9/2017
379,Exchange,Bryson Tiller,1385694,11/9/2017
380,Craving You,Thomas Rhett,1379308,11/9/2017
381,Issues,Julia Michaels,1368602,11/9/2017
382,Everyday We Lit ,YFN Lucci,1367500,11/9/2017
383,pick up the phone,"Young Thug, Travis Scott",1366351,11/9/2017
384,Losing Sleep,Chris Young,1363387,11/9/2017
385,Again,Noah Cyrus,1357531,11/9/2017
386,Love Scars,Trippie Redd,1354606,11/9/2017
387,Small Town Boy,Dustin Lynch,1351359,11/9/2017
388,Greatest Love Story,LANCO,1343063,11/9/2017
389,Flex Like Ouu,Lil Pump,1341244,11/9/2017
390,No Problem ,Chance the Rapper,1340924,11/9/2017
391,Saved,Khalid,1339286,11/9/2017
392,No Promises,Cheat Codes,1333373,11/9/2017
393,8TEEN,Khalid,1329710,11/9/2017
394,Most Girls,Hailee Steinfeld,1327809,11/9/2017
395,Easy Love,Lauv,1317164,11/9/2017
396,Love U Better ,Ty Dolla $ign,1312493,11/9/2017
397,Die For You,The Weeknd,1307710,11/9/2017
398,Horses ,"PnB Rock, PnB Rock, Kodak Black, A Boogie Wit da Hoodie, PnB Rock, Kodak Black, A Boogie Wit da Hoodie",1307206,11/9/2017
399,Bank Account,21 Savage,8301827,8/24/2017
400,Unforgettable,French Montana,7576557,8/24/2017
401,XO TOUR Llif3,Lil Uzi Vert,7485131,8/24/2017
402,Friends ,"Justin Bieber, BloodPop",6659321,8/24/2017
403,Bodak Yellow,Cardi B,6513115,8/24/2017
404,Wild Thoughts ,DJ Khaled,6389498,8/24/2017
405,Despacito,Luis Fonsi,6043987,8/24/2017
406,HUMBLE.,Kendrick Lamar,6017924,8/24/2017
407,Sorry Not Sorry,Demi Lovato,5765110,8/24/2017
408,Young Dumb & Broke,Khalid,5597303,8/24/2017
409,Mi Gente,J Balvin,5552505,8/24/2017
410,Silence,Marshmello,5276220,8/24/2017
411,I'm the One ,DJ Khaled,5237680,8/24/2017
412,BUTTERFLY EFFECT,Travis Scott,5224118,8/24/2017
413,Congratulations,Post Malone,5185408,8/24/2017
414,1-800-273-8255,Logic,5115286,8/24/2017
415,Feels,Calvin Harris,4927435,8/24/2017
416,Strip That Down,Liam Payne,4844877,8/24/2017
417,Location,Khalid,4470437,8/24/2017
418,Feel It Still,Portugal. The Man,4399374,8/24/2017
419,Attention,Charlie Puth,4236220,8/24/2017
420,Havana,Camila Cabello,4172544,8/24/2017
421,Praying,Kesha,4098050,8/24/2017
422,Love Galore ,SZA,4066925,8/24/2017
423,Slippery ,Migos,4032481,8/24/2017
424,Redbone,Childish Gambino,4002733,8/24/2017
425,New Rules,Dua Lipa,3992920,8/24/2017
426,Back to You ,Louis Tomlinson,3964157,8/24/2017
427,Magnolia,Playboi Carti,3917163,8/24/2017
428,Believer,Imagine Dragons,3849744,8/24/2017
429,goosebumps,Travis Scott,3848449,8/24/2017
430,DNA.,Kendrick Lamar,3810500,8/24/2017
431,Rake It Up,Yo Gotti,3651445,8/24/2017
432,Glorious ,Macklemore,3642746,8/24/2017
433,I Get The Bag ,Gucci Mane,3592899,8/24/2017
434,Body Like A Back Road,Sam Hunt,3559469,8/24/2017
435,Slow Hands,Niall Horan,3517011,8/24/2017
436,Thunder,Imagine Dragons,3463243,8/24/2017
437,I Like Me Better,Lauv,3446024,8/24/2017
438,2U ,David Guetta,3383742,8/24/2017
439,Mask Off,Future,3371962,8/24/2017
440,Fetish ,Selena Gomez,3349387,8/24/2017
441,It's A Vibe,2 Chainz,3332290,8/24/2017
442,There's Nothing Holdin' Me Back,Shawn Mendes,3292079,8/24/2017
443,LOYALTY.,Kendrick Lamar,3240538,8/24/2017
444,Drowning ,A Boogie Wit da Hoodie,3201716,8/24/2017
445,That's What I Like,Bruno Mars,3190198,8/24/2017
446,Perplexing Pegasus,Rae Sremmurd,3173299,8/24/2017
447,LOVE.,Kendrick Lamar,3169821,8/24/2017
448,Shape of You,Ed Sheeran,3058291,8/24/2017
449,Slide,Calvin Harris,2826887,8/24/2017
450,Would You Ever,Skrillex,2693488,8/24/2017
451,4:00 AM,2 Chainz,2660105,8/24/2017
452,Lonely Together ,Avicii,2600029,8/24/2017
453,Signs,Drake,2549049,8/24/2017
454,Roll In Peace ,Kodak Black,2494133,8/24/2017
455,iSpy ,KYLE,2420067,8/24/2017
456,Unforgettable,Thomas Rhett,2410441,8/24/2017
457,Stay ,"Zedd, Alessia Cara",2345171,8/24/2017
458,Passionfruit,Drake,2318021,8/24/2017
459,No Complaints,Metro Boomin,2297746,8/24/2017
460,Without You ,Avicii,2216483,8/24/2017
461,OMG,Camila Cabello,2198635,8/24/2017
462,Bad and Boujee ,Migos,2150692,8/24/2017
463,Most Girls,Hailee Steinfeld,2144627,8/24/2017
464,Bounce Back,Big Sean,2138486,8/24/2017
465,More Than You Know,Axwell /\ Ingrosso,2135376,8/24/2017
466,Something Just Like This,"The Chainsmokers, Coldplay",2115562,8/24/2017
467,Rich Love ,"OneRepublic, Seeb, Seeb",2106992,8/24/2017
468,do re mi ,blackbear,2095472,8/24/2017
469,Now Or Never,Halsey,2089183,8/24/2017
470,T-Shirt,Migos,2031221,8/24/2017
471,Say You Won't Let Go,James Arthur,2014931,8/24/2017
472,Marmalade ,Macklemore,2005740,8/24/2017
473,Tunnel Vision,Kodak Black,2000490,8/24/2017
474,Closer,The Chainsmokers,1976740,8/24/2017
475,There for You,Martin Garrix,1973454,8/24/2017
476,do re mi,blackbear,1966202,8/24/2017
477,Rollin,Calvin Harris,1954462,8/24/2017
478,Questions,Chris Brown,1923111,8/24/2017
479,Issues,Julia Michaels,1910193,8/24/2017
480,No Promises,Cheat Codes,1905668,8/24/2017
481,Swang,Rae Sremmurd,1886011,8/24/2017
482,Mama,Jonas Blue,1884322,8/24/2017
483,What Ifs,Kane Brown,1872693,8/24/2017
484,Despacito,Luis Fonsi,1832447,8/24/2017
485,Caroline,Amine,1824888,8/24/2017
486,wokeuplikethis*,Playboi Carti,1806416,8/24/2017
487,Portland,Drake,1801196,8/24/2017
488,Small Town Boy,Dustin Lynch,1797121,8/24/2017
489,Broccoli ,DRAM,1785154,8/24/2017
490,Bad Liar,Selena Gomez,1773857,8/24/2017
491,The Race,Tay-K,1768895,8/24/2017
492,Numb,21 Savage,1750943,8/24/2017
493,Fake Love,Drake,1739264,8/24/2017
494,Relationship ,Young Thug,1735465,8/24/2017
495,Starboy,The Weeknd,1725656,8/24/2017
496,It Ain't Me,"Kygo, Selena Gomez",1724164,8/24/2017
497,Felices los 4,Maluma,1717668,8/24/2017
498,Look At Me!,XXXTENTACION,1697883,8/24/2017
499,Ex Calling,6LACK,1694649,8/24/2017
500,Everyday We Lit ,YFN Lucci,1688882,8/24/2017
501,Swalla ,Jason Derulo,1685878,8/24/2017
502,Go Flex,Post Malone,1685525,8/24/2017
503,ELEMENT.,Kendrick Lamar,1673587,8/24/2017
504,White Iverson,Post Malone,1670186,8/24/2017
505,Your Song,Rita Ora,1664302,8/24/2017
